id,rain_sum (mm)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.26878375
7,0.5145089
8,0.0
9,0.0
10,0.209337
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.3675482
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.30916047
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.9666531
41,3.2216072
42,1.8685069
43,1.1334019
44,0.021114707
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,1.6375197
51,0.31079072
52,1.4270248
53,1.6289347
54,1.011855
55,1.4660687
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.78503805
62,0.7686958
63,1.1805607
64,1.4363033
65,1.8513464
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,1.0564744
78,1.0748086
79,0.28607267
80,1.2107263
81,0.4279443
82,1.0503135
83,0.42309898
84,1.8166153
85,0.9943364
86,1.2002167
87,1.4173892
88,3.4685612
89,5.3044157
90,1.9521513
91,0.93758214
92,1.9556004
93,8.023369
94,3.0417035
95,1.9685097
96,1.8523312
97,2.3147469
98,3.4139998
99,8.782132
100,10.716404
101,7.4944854
102,10.865888
103,20.147717
104,9.863728
105,5.0580325
106,2.267303
107,3.4979293
108,23.727955
109,3.2382624
110,1.9526768
111,3.214072
112,4.7540054
113,4.628364
114,4.852206
115,12.578084
116,12.784074
117,2.6177735
118,4.721203
119,5.53978
120,3.852814
121,4.3295956
122,14.029685
123,5.5677257
124,6.1713576
125,2.6479263
126,2.8312387
127,4.760485
128,4.6684566
129,5.484682
130,2.8707466
131,3.9905334
132,2.902105
133,11.818277
134,18.96011
135,5.7917986
136,3.384507
137,2.570395
138,18.7887
139,22.881622
140,0.55348396
141,1.1375235
142,2.190453
143,2.377104
144,1.3374939
145,2.2640028
146,1.39041
147,3.3386889
148,5.436694
149,4.0143433
150,2.9331205
151,4.0487223
152,3.1133046
153,1.9247626
154,2.4369442
155,2.6612637
156,2.9624858
157,2.128902
158,4.2374625
159,2.0962691
160,9.145649
161,9.690282
162,3.4485376
163,2.291049
164,2.701499
165,5.773708
166,4.265984
167,8.8291025
168,6.4145517
169,16.206997
170,3.7161
171,2.9728355
172,1.6928366
173,0.94710726
174,1.2262199
175,1.7501098
176,1.4910975
177,2.5793908
178,4.8188987
179,5.7324696
180,3.4918897
181,3.3759642
182,4.520263
183,3.3378432
184,3.2477238
185,4.0139613
186,4.911647
187,11.035703
188,3.712689
189,3.5703437
190,5.1955094
191,7.9925756
192,12.011126
193,10.725191
194,7.3338766
195,8.229234
196,5.6515884
197,12.199884
198,15.348891
199,2.531158
200,3.1002777
201,1.7764851
202,1.8091228
203,2.13328
204,2.4629807
205,2.6616986
206,4.9307632
207,3.6438117
208,4.0570335
209,6.4579096
210,2.928883
211,1.8226566
212,3.1686244
213,4.1319017
214,5.804447
215,5.3021245
216,11.862837
217,14.138752
218,7.319347
219,13.033031
220,6.9393196
221,1.746505
222,3.4908717
223,4.162757
224,4.366452
225,0.630815
226,2.0928397
227,2.8090537
228,5.0822883
229,16.62194
230,14.267461
231,5.585252
232,2.3124394
233,3.3000214
234,3.4084635
235,4.068037
236,2.2506723
237,2.2845502
238,1.6721854
239,1.1874533
240,4.505271
241,4.0775805
242,3.926259
243,3.6330688
244,1.8486141
245,1.4886407
246,1.9277215
247,1.727907
248,1.7710109
249,1.7800162
250,0.0
251,0.17331293
252,0.15843719
253,0.0
254,0.0
255,0.32774997
256,0.8639823
257,4.218335
258,22.865986
259,9.47032
260,7.0978513
261,1.6916729
262,2.0018039
263,3.0283127
264,1.1076044
265,5.877933
266,6.900833
267,3.055634
268,2.4318652
269,5.3101716
270,2.9523115
271,0.5788661
272,0.017512113
273,1.0866067
274,0.9630019
275,0.658924
276,0.9375002
277,3.2757041
278,12.037869
279,7.1115127
280,7.739633
281,4.363251
282,1.2065156
283,3.9515116
284,1.1003525
285,0.5065217
286,3.3167322
287,5.3114424
288,7.3082876
289,11.098658
290,8.232887
291,0.93392575
292,0.47656095
293,0.9378861
294,2.798394
295,10.243724
296,8.186163
297,3.4951205
298,4.7285743
299,1.2344596
300,0.74517536
301,4.9162335
302,0.39824364
303,0.021618098
304,0.34332925
305,4.349516
306,2.9119358
307,1.068609
308,2.2889967
309,1.1786933
310,2.5894444
311,1.0816504
312,2.521022
313,8.675849
314,4.0577183
315,3.3405652
316,3.1426983
317,2.1176338
318,1.0276878
319,2.9551988
320,1.3495895
321,0.0
322,0.0
323,0.993103
324,0.43761536
325,1.0651755
326,2.9624515
327,1.7315667
328,0.30096304
329,0.50971377
330,0.20718016
331,0.34516567
332,1.7678549
333,1.1915374
334,0.91329265
335,2.9556937
336,10.253938
337,0.89704573
338,0.22062728
339,0.027974099
340,0.0
341,1.772555
342,0.2062052
343,1.4940834
344,2.2631798
345,0.36494216
346,1.8623382
347,1.0569272
348,0.0
349,0.0
350,0.0
351,0.0
352,0.2711079
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.07421219
362,0.0
363,0.9687892
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.89100283
374,0.3539788
375,0.07993412
376,0.29630563
377,0.61974
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.027593106
390,0.0
391,0.0
392,0.74116594
393,0.0
394,0.0
395,0.0
396,0.22413042
397,0.64072764
398,0.028952718
399,0.19295822
400,0.44763654
401,1.5855197
402,1.2102039
403,0.665777
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,1.1160738
423,1.3271632
424,1.2058158
425,2.1255426
426,2.9471312
427,2.4387224
428,2.2601705
429,1.3038468
430,2.0113215
431,1.1980002
432,1.509127
433,1.6899724
434,0.9281914
435,1.5314075
436,2.942644
437,0.28615996
438,1.358151
439,6.8923373
440,16.509815
441,7.800518
442,11.934236
443,1.6825528
444,2.4345078
445,4.041188
446,7.0177627
447,8.751029
448,3.4966826
449,1.6672348
450,1.5347414
451,1.2823573
452,1.0817056
453,1.6267719
454,1.5783955
455,1.652796
456,1.620752
457,1.7141546
458,3.5924518
459,6.3896785
460,2.2325072
461,16.580593
462,3.6332128
463,2.9309142
464,6.1342845
465,10.792853
466,5.63615
467,4.625682
468,9.719913
469,2.3475854
470,4.7991877
