id,rain_sum (mm)
0,0.6629207134246826
1,1.0796186923980713
2,1.0635325908660889
3,1.113072395324707
4,1.2924067974090576
5,1.3911004066467285
6,1.122671127319336
7,3.406651735305786
8,0.7098448276519775
9,0.3456399440765381
10,0.9202785491943359
11,1.3718469142913818
12,0.29752326011657715
13,0.33899378776550293
14,0.446636438369751
15,0.3637402057647705
16,1.1078648567199707
17,1.034362554550171
18,0.9719288349151611
19,1.6729109287261963
20,1.2985022068023682
21,0.6783711910247803
22,0.5988507270812988
23,0.3295705318450928
24,0.444530725479126
25,0.872199296951294
26,1.153041124343872
27,1.2662575244903564
28,1.1564886569976807
29,0.46749377250671387
30,0.6969926357269287
31,0.5082414150238037
32,0.42329955101013184
33,0.6157629489898682
34,0.857151985168457
35,1.1677420139312744
36,1.1928796768188477
37,1.3009872436523438
38,0.6659829616546631
39,0.7923686504364014
40,4.646076202392578
41,5.590246200561523
42,3.50858736038208
43,6.419700622558594
44,1.0537488460540771
45,1.1585166454315186
46,0.6066980361938477
47,0.6512598991394043
48,0.636528730392456
49,1.1541972160339355
50,1.456035852432251
51,0.8541476726531982
52,1.34757399559021
53,3.6840391159057617
54,1.7018444538116455
55,2.1407577991485596
56,1.2878022193908691
57,0.5789463520050049
58,0.705181360244751
59,0.5783398151397705
60,1.411135196685791
61,1.2805707454681396
62,1.2903800010681152
63,3.3527605533599854
64,2.18589186668396
65,4.858424186706543
66,1.325239658355713
67,0.5955498218536377
68,0.793694257736206
69,0.8368017673492432
70,1.660569190979004
71,1.0224716663360596
72,0.9655869007110596
73,0.8187296390533447
74,1.114398717880249
75,1.240354061126709
76,1.6516573429107666
77,2.757908344268799
78,2.0238544940948486
79,1.0237038135528564
80,1.60770583152771
81,1.0682613849639893
82,1.5517337322235107
83,0.9682188034057617
84,3.015242338180542
85,1.5697288513183594
86,1.7592244148254395
87,2.0765302181243896
88,7.150233268737793
89,7.724163055419922
90,3.7058022022247314
91,1.7822396755218506
92,2.632063150405884
93,10.721649169921875
94,5.352100372314453
95,3.7501046657562256
96,3.553947925567627
97,3.9510927200317383
98,7.126934051513672
99,12.313467025756836
100,12.736838340759277
101,8.888015747070312
102,10.418736457824707
103,33.154029846191406
104,12.54100227355957
105,8.06224250793457
106,3.2874996662139893
107,5.961512565612793
108,55.531192779541016
109,3.847982406616211
110,2.2255232334136963
111,5.699550628662109
112,6.199280738830566
113,5.679529190063477
